"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C7","3","100nF","","","","","~"
"C2,C4,C5,C8","4","100uF","","","","","~"
"C6,C9","2","330uF","","","","","~"
"D1","1","D_Zener 50V-20A","","","","","~"
"F1","1","Fuse","","","","Fuse:Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal","~"
"J1","1","Jack-DC - in 12-14 vCC","","","","","~"
"J2","1","Screw_Terminal_01x16","","","","","~"
"K1,K2","2","Relay 5V","","","","Relay_THT:Relay_SPDT_Finder_40.11","https://www.finder-relais.net/de/finder-relais-serie-40.pdf"
"Mod1","1","DC 12V - DC 28V inverter","","","","Converter_DCDC:Converter_DCDC_TRACO_TRA3-xxxx_THT","https://www.tracopower.com/products/tra3.pdf"
"U1,U2","2","L7805","","","","","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U3","1","L7818","","","","","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
